Tiempo;Voltaje;Corriente;Temperatura;RPM
1509849550.281591;116.0;385.0;513.0;-30.0
1509849550.4894574;116.0;385.0;513.0;-28.0
1509849550.7084591;116.0;385.0;513.0;-26.0
1509849550.8993785;116.0;385.0;513.0;-23.0
1509849551.1142378;116.0;385.0;513.0;-21.0
1509849551.3125846;116.0;385.0;513.0;-19.0
1509849551.5022225;116.0;385.0;513.0;-16.0
1509849551.698997;116.0;385.0;513.0;-14.0
1509849551.929097;116.0;145.0;513.0;-12.0
1509849552.1212552;116.0;145.0;513.0;-9.0
1509849552.32454;117.0;145.0;514.0;-7.0
1509849552.5276394;117.0;145.0;514.0;-5.0
1509849552.6994364;117.0;145.0;514.0;-2.0
1509849552.934769;117.0;145.0;514.0;0.0
1509849553.1387434;117.0;145.0;514.0;2.0
1509849553.318079;117.0;145.0;514.0;4.0
1509849553.50015;117.0;-117.0;514.0;6.0
1509849553.7195406;117.0;-117.0;514.0;9.0
1509849553.9612694;117.0;-117.0;514.0;11.0
1509849554.103424;117.0;-117.0;514.0;13.0
1509849554.333542;118.0;-117.0;372.0;16.0
1509849554.529452;118.0;-117.0;372.0;18.0
1509849554.708601;118.0;-117.0;372.0;20.0
1509849554.9241517;118.0;-117.0;372.0;23.0
1509849555.103668;118.0;-162.0;372.0;25.0
1509849555.3181639;118.0;-162.0;372.0;27.0
1509849555.5289464;118.0;-162.0;372.0;30.0
1509849555.7477174;118.0;-162.0;372.0;32.0
1509849555.9285889;118.0;-162.0;372.0;-30.0
1509849556.1486127;118.0;-162.0;372.0;-28.0
1509849556.3278537;119.0;-162.0;373.0;-25.0
1509849556.5504231;119.0;-162.0;373.0;-23.0
1509849556.7209172;119.0;52.0;373.0;-20.0
1509849556.936305;119.0;52.0;373.0;-18.0
1509849557.12522;119.0;52.0;373.0;-16.0
1509849557.3325438;119.0;52.0;373.0;-13.0
1509849557.5678043;119.0;52.0;373.0;-11.0
1509849557.7302294;119.0;52.0;373.0;-8.0
1509849557.949414;119.0;52.0;373.0;-6.0
1509849558.1423347;119.0;52.0;373.0;-4.0
1509849558.3546116;120.0;329.0;-1.0;-1.0
1509849558.5414925;120.0;329.0;-1.0;0.0
1509849558.7811036;120.0;329.0;-1.0;3.0
1509849558.9290228;120.0;329.0;-1.0;5.0
1509849559.1448526;120.0;329.0;-1.0;7.0
1509849559.3511267;120.0;329.0;-1.0;10.0
1509849559.5484548;120.0;329.0;-1.0;12.0
1509849559.741359;120.0;329.0;-1.0;15.0
1509849560.0419972;120.0;413.0;-1.0;17.0
1509849560.15747;120.0;413.0;-1.0;19.0
1509849560.3452563;121.0;413.0;0.0;22.0
1509849560.5419486;121.0;413.0;0.0;24.0
1509849560.7325702;121.0;413.0;0.0;27.0
1509849560.947512;121.0;413.0;0.0;29.0
1509849561.1458435;121.0;413.0;0.0;32.0
1509849561.359892;121.0;413.0;0.0;-31.0
1509849561.53162;121.0;227.0;0.0;-28.0
1509849561.7623205;121.0;227.0;0.0;-26.0
1509849561.9605482;121.0;227.0;0.0;-23.0
1509849562.1874528;121.0;227.0;0.0;-21.0
1509849562.3810682;122.0;227.0;-264.0;-18.0
1509849562.6350641;122.0;227.0;-264.0;-16.0
1509849562.7808218;122.0;227.0;-264.0;-14.0
1509849562.9498746;122.0;227.0;-264.0;-11.0
1509849563.1846733;122.0;-57.0;-264.0;-9.0
1509849563.3498678;122.0;-57.0;-264.0;-6.0
1509849563.5708833;122.0;-57.0;-264.0;-4.0
1509849563.7675076;122.0;-57.0;-264.0;-1.0
1509849563.994283;122.0;-57.0;-264.0;0.0
1509849564.1574142;122.0;-57.0;-264.0;3.0
1509849564.3470256;123.0;-57.0;-263.0;5.0
1509849564.5844703;123.0;-57.0;-263.0;8.0
1509849564.7747884;123.0;-179.0;-263.0;10.0
1509849564.9468284;123.0;-179.0;-263.0;12.0
1509849565.261161;123.0;-179.0;-263.0;15.0
1509849565.3554173;123.0;-179.0;-263.0;17.0
1509849565.5529423;123.0;-179.0;-263.0;20.0
1509849565.7496777;123.0;-179.0;-263.0;22.0
1509849565.9784;123.0;-179.0;-263.0;25.0
1509849566.1590214;123.0;-179.0;-263.0;27.0
1509849566.4050813;124.0;-26.0;-171.0;30.0
1509849566.5541701;124.0;-26.0;-171.0;32.0
1509849566.7618144;124.0;-26.0;-171.0;-30.0
1509849566.9554904;124.0;-26.0;-171.0;-27.0
1509849567.1596346;124.0;-26.0;-171.0;-25.0
1509849567.3843212;124.0;-26.0;-171.0;-22.0
1509849567.5712633;124.0;-26.0;-171.0;-20.0
1509849567.7798786;124.0;-26.0;-171.0;-17.0
1509849567.9797769;124.0;261.0;-171.0;-15.0
1509849568.1509564;124.0;261.0;-171.0;-12.0
1509849568.3593614;125.0;261.0;-170.0;-10.0
1509849568.574169;125.0;261.0;-170.0;-7.0
1509849568.8086848;125.0;261.0;-170.0;-5.0
1509849568.970425;125.0;261.0;-170.0;-2.0
1509849569.162734;125.0;261.0;-170.0;0.0
1509849569.391478;125.0;261.0;-170.0;2.0
1509849569.5612576;125.0;419.0;-170.0;4.0
1509849569.7592592;125.0;419.0;-170.0;7.0
1509849569.980377;125.0;419.0;-170.0;9.0
1509849570.1899118;125.0;419.0;-170.0;12.0
1509849570.3772237;126.0;419.0;192.0;14.0
1509849570.6016726;126.0;419.0;192.0;17.0
1509849570.7606726;126.0;419.0;192.0;19.0
1509849571.0034783;126.0;419.0;192.0;22.0
1509849571.2067626;126.0;301.0;192.0;24.0
1509849571.4148312;126.0;301.0;192.0;27.0
1509849571.578863;126.0;301.0;192.0;29.0
1509849571.7805924;126.0;301.0;192.0;32.0
1509849572.0159059;126.0;301.0;192.0;-30.0
1509849572.2270424;126.0;301.0;192.0;-28.0
1509849572.3930454;127.0;301.0;193.0;-25.0
1509849572.628998;127.0;301.0;193.0;-22.0
1509849572.8402693;127.0;17.0;193.0;-20.0
1509849572.9807012;127.0;17.0;193.0;-17.0
1509849573.2068286;127.0;17.0;193.0;-15.0
1509849573.3868032;127.0;17.0;193.0;-12.0
1509849573.6009054;127.0;17.0;193.0;-10.0
1509849573.7887158;127.0;17.0;193.0;-7.0
1509849573.9791849;127.0;17.0;193.0;-5.0
1509849574.190911;127.0;17.0;193.0;-2.0
1509849574.4093635;128.0;-172.0;496.0;0.0
1509849574.5955014;128.0;-172.0;496.0;2.0
1509849574.8270783;128.0;-172.0;496.0;5.0
1509849574.988453;128.0;-172.0;496.0;7.0
1509849575.218709;128.0;-172.0;496.0;10.0
1509849575.4354029;128.0;-172.0;496.0;12.0
1509849575.5748022;128.0;-172.0;496.0;15.0
1509849575.8631504;128.0;-172.0;496.0;17.0
1509849575.9748693;128.0;-93.0;496.0;20.0
1509849576.1999996;128.0;-93.0;496.0;23.0
1509849576.3981774;129.0;-93.0;497.0;25.0
1509849576.6204987;129.0;-93.0;497.0;28.0
1509849576.800126;129.0;-93.0;497.0;30.0
1509849576.9964237;129.0;-93.0;497.0;-32.0
1509849577.1803749;129.0;-93.0;497.0;-29.0
1509849577.4036052;129.0;-93.0;497.0;-26.0
1509849577.6244056;129.0;181.0;497.0;-24.0
1509849577.8206322;129.0;181.0;497.0;-21.0
1509849577.9921205;129.0;181.0;497.0;-19.0
1509849578.2336714;129.0;181.0;497.0;-16.0
1509849578.3859282;130.0;181.0;460.0;-13.0
1509849578.5945916;130.0;181.0;460.0;-11.0
1509849578.8378322;130.0;181.0;460.0;-8.0
1509849578.9945092;130.0;181.0;460.0;-6.0
1509849579.2188609;130.0;400.0;460.0;-3.0
1509849579.40223;130.0;400.0;460.0;0.0
1509849579.595878;130.0;400.0;460.0;1.0
1509849579.802947;130.0;400.0;460.0;4.0
1509849580.0137427;130.0;400.0;460.0;6.0
1509849580.2360744;130.0;400.0;460.0;9.0
1509849580.4101481;131.0;400.0;461.0;12.0
1509849580.61949;131.0;400.0;461.0;14.0
1509849580.842287;131.0;361.0;461.0;17.0
1509849581.0040314;131.0;361.0;461.0;20.0
1509849581.2073252;131.0;361.0;461.0;22.0
1509849581.4114285;131.0;361.0;461.0;25.0
1509849581.644607;131.0;361.0;461.0;27.0
1509849581.7992463;131.0;361.0;461.0;30.0
1509849581.996427;131.0;361.0;461.0;-32.0
1509849582.2619455;131.0;361.0;461.0;-29.0
1509849582.467878;132.0;100.0;121.0;-27.0
1509849582.6068206;132.0;100.0;121.0;-24.0
1509849582.8497362;132.0;100.0;121.0;-21.0
