#piLocal-007
#86
#321
#3210
#Grafica en tiempo real segunda prueba
Tiempo;Voltaje;Corriente;Temperatura;RPM
1509912311.131846;115.0;381.0;289.0;16.0
1509912311.3117392;115.0;381.0;289.0;18.0
1509912311.509924;115.0;381.0;289.0;20.0
1509912311.695881;115.0;381.0;289.0;23.0
1509912311.9130216;115.0;381.0;289.0;25.0
1509912312.0961506;115.0;381.0;289.0;27.0
1509912312.3112602;115.0;381.0;289.0;30.0
1509912312.5108333;115.0;381.0;289.0;32.0
1509912312.71124;116.0;385.0;513.0;-30.0
1509912312.9151149;116.0;385.0;513.0;-28.0
1509912313.1064076;116.0;385.0;513.0;-26.0
1509912313.3119235;116.0;385.0;513.0;-23.0
1509912313.5136304;116.0;385.0;513.0;-21.0
1509912313.7211032;116.0;385.0;513.0;-19.0
1509912313.9046462;116.0;385.0;513.0;-16.0
1509912314.104174;116.0;385.0;513.0;-14.0
1509912314.3055038;116.0;145.0;513.0;-12.0
1509912314.5034897;116.0;145.0;513.0;-9.0
1509912314.7050505;117.0;145.0;514.0;-7.0
1509912314.9191723;117.0;145.0;514.0;-5.0
1509912315.1075032;117.0;145.0;514.0;-2.0
1509912315.3063111;117.0;145.0;514.0;0.0
1509912315.5238886;117.0;145.0;514.0;2.0
1509912315.7242575;117.0;145.0;514.0;4.0
1509912315.9218683;117.0;-117.0;514.0;6.0
1509912316.1145222;117.0;-117.0;514.0;9.0
1509912316.3263261;117.0;-117.0;514.0;11.0
1509912316.512639;117.0;-117.0;514.0;13.0
1509912316.7232609;118.0;-117.0;372.0;16.0
1509912316.9283814;118.0;-117.0;372.0;18.0
1509912317.1133466;118.0;-117.0;372.0;20.0
1509912317.3316722;118.0;-117.0;372.0;23.0
1509912317.5147672;118.0;-162.0;372.0;25.0
1509912317.7295408;118.0;-162.0;372.0;27.0
1509912317.9348967;118.0;-162.0;372.0;30.0
1509912318.1318436;118.0;-162.0;372.0;32.0
1509912318.3433833;118.0;-162.0;372.0;-30.0
1509912318.5316043;118.0;-162.0;372.0;-28.0
1509912318.739861;119.0;-162.0;373.0;-25.0
1509912318.93377;119.0;-162.0;373.0;-23.0
1509912319.133498;119.0;52.0;373.0;-20.0
1509912319.3332586;119.0;52.0;373.0;-18.0
1509912319.5232816;119.0;52.0;373.0;-16.0
1509912319.7243125;119.0;52.0;373.0;-13.0
1509912319.9271853;119.0;52.0;373.0;-11.0
1509912320.1229742;119.0;52.0;373.0;-8.0
1509912320.5363398;119.0;52.0;373.0;-6.0
1509912320.5590835;119.0;52.0;373.0;-4.0
1509912320.7249858;120.0;329.0;-1.0;-1.0
1509912320.9451904;120.0;329.0;-1.0;0.0
1509912321.1453032;120.0;329.0;-1.0;3.0
1509912321.349208;120.0;329.0;-1.0;5.0
1509912321.5274591;120.0;329.0;-1.0;7.0
1509912321.7409208;120.0;329.0;-1.0;10.0
1509912321.9406188;120.0;329.0;-1.0;12.0
1509912322.1336956;120.0;329.0;-1.0;15.0
1509912322.3468893;120.0;413.0;-1.0;17.0
1509912322.5440261;120.0;413.0;-1.0;19.0
1509912322.7320652;121.0;413.0;0.0;22.0
1509912322.9328341;121.0;413.0;0.0;24.0
1509912323.1349838;121.0;413.0;0.0;27.0
1509912323.3340628;121.0;413.0;0.0;29.0
1509912323.5339625;121.0;413.0;0.0;32.0
1509912323.7360914;121.0;413.0;0.0;-31.0
1509912323.9352503;121.0;227.0;0.0;-28.0
1509912324.1355422;121.0;227.0;0.0;-26.0
1509912324.344121;121.0;227.0;0.0;-23.0
1509912324.5556936;121.0;227.0;0.0;-21.0
1509912324.7529554;122.0;227.0;-264.0;-18.0
1509912324.9522293;122.0;227.0;-264.0;-16.0
1509912325.1554232;122.0;227.0;-264.0;-14.0
1509912325.3531501;122.0;227.0;-264.0;-11.0
1509912325.544897;122.0;-57.0;-264.0;-9.0
1509912325.7531018;122.0;-57.0;-264.0;-6.0
1509912325.9472487;122.0;-57.0;-264.0;-4.0
1509912326.1451566;122.0;-57.0;-264.0;-1.0
1509912326.3537602;122.0;-57.0;-264.0;0.0
1509912326.5460074;122.0;-57.0;-264.0;3.0
1509912326.763654;123.0;-57.0;-263.0;5.0
1509912326.946424;123.0;-57.0;-263.0;8.0
1509912327.1631377;123.0;-179.0;-263.0;10.0
1509912327.3781514;123.0;-179.0;-263.0;12.0
1509912327.5568795;123.0;-179.0;-263.0;15.0
1509912327.7660604;123.0;-179.0;-263.0;17.0
1509912327.962021;123.0;-179.0;-263.0;20.0
1509912328.16695;123.0;-179.0;-263.0;22.0
1509912328.353659;123.0;-179.0;-263.0;25.0
1509912328.5559578;123.0;-179.0;-263.0;27.0
1509912328.7560825;124.0;-26.0;-171.0;30.0
1509912328.9688554;124.0;-26.0;-171.0;32.0
1509912329.1725452;124.0;-26.0;-171.0;-30.0
1509912329.3549492;124.0;-26.0;-171.0;-27.0
1509912329.5564442;124.0;-26.0;-171.0;-25.0
1509912329.766908;124.0;-26.0;-171.0;-22.0
1509912329.9711037;124.0;-26.0;-171.0;-20.0
1509912330.1706836;124.0;-26.0;-171.0;-17.0
1509912330.3635354;124.0;261.0;-171.0;-15.0
1509912330.5764773;124.0;261.0;-171.0;-12.0
1509912330.773137;125.0;261.0;-170.0;-10.0
1509912330.971894;125.0;261.0;-170.0;-7.0
1509912331.1712449;125.0;261.0;-170.0;-5.0
1509912331.3739116;125.0;261.0;-170.0;-2.0
1509912331.5665166;125.0;261.0;-170.0;0.0
1509912331.7666924;125.0;261.0;-170.0;2.0
1509912331.9634044;125.0;419.0;-170.0;4.0
1509912332.1641982;125.0;419.0;-170.0;7.0
1509912332.364772;125.0;419.0;-170.0;9.0
1509912332.5665228;125.0;419.0;-170.0;12.0
1509912332.7816546;126.0;419.0;192.0;14.0
1509912332.9813786;126.0;419.0;192.0;17.0
1509912333.1826413;126.0;419.0;192.0;19.0
1509912333.3835282;126.0;419.0;192.0;22.0
1509912333.5792181;126.0;301.0;192.0;24.0
1509912333.7733421;126.0;301.0;192.0;27.0
1509912333.9725869;126.0;301.0;192.0;29.0
1509912334.1842706;126.0;301.0;192.0;32.0
1509912334.3833516;126.0;301.0;192.0;-30.0
1509912334.5765016;126.0;301.0;192.0;-28.0
1509912334.7757323;127.0;301.0;193.0;-25.0
1509912334.9738944;127.0;301.0;193.0;-22.0
