#piUART-001
#85
#350
#3500
#
Tiempo;Voltaje;Corriente;Temperatura;RPM
1509945331.969051;19.0;247.0;183.0;-27.0
1509945332.1694064;100.0;356.0;-4.0;16.0
1509945332.367203;100.0;356.0;-4.0;18.0
1509945332.5683208;100.0;356.0;-4.0;20.0
1509945332.7690554;100.0;356.0;-4.0;22.0
1509945332.968885;100.0;356.0;-4.0;24.0
1509945333.1704326;100.0;356.0;-4.0;26.0
1509945333.3747652;100.0;356.0;-4.0;28.0
1509945333.5706887;100.0;356.0;-4.0;31.0
1509945333.7833533;100.0;403.0;-4.0;-32.0
1509945333.979915;100.0;403.0;-4.0;-30.0
1509945334.1732526;101.0;403.0;-3.0;-28.0
1509945334.3749852;101.0;403.0;-3.0;-26.0
1509945334.574916;101.0;403.0;-3.0;-24.0
1509945334.7758455;101.0;403.0;-3.0;-22.0
1509945334.975547;101.0;403.0;-3.0;-20.0
1509945335.1765368;101.0;403.0;-3.0;-18.0
1509945335.3769574;101.0;189.0;-3.0;-16.0
1509945335.5813859;101.0;189.0;-3.0;-14.0
1509945335.7783566;101.0;189.0;-3.0;-12.0
1509945335.9789093;101.0;189.0;-3.0;-10.0
1509945336.1796799;102.0;189.0;370.0;-8.0
1509945336.3920584;102.0;189.0;370.0;-6.0
1509945336.581337;102.0;189.0;370.0;-4.0
1509945336.7843056;102.0;189.0;370.0;-2.0
1509945336.9899364;102.0;-87.0;370.0;0.0
1509945337.184099;102.0;-87.0;370.0;2.0
1509945337.3879435;102.0;-87.0;370.0;4.0
1509945337.596708;102.0;-87.0;370.0;6.0
1509945337.7846208;102.0;-87.0;370.0;8.0
1509945337.9859354;102.0;-87.0;370.0;10.0
1509945338.186181;103.0;-87.0;371.0;12.0
1509945338.3869987;103.0;-87.0;371.0;14.0
1509945338.604242;103.0;-174.0;371.0;16.0
1509945338.8073657;103.0;-174.0;371.0;18.0
1509945338.9898214;103.0;-174.0;371.0;20.0
1509945339.190227;103.0;-174.0;371.0;22.0
1509945339.3907228;103.0;-174.0;371.0;24.0
1509945339.6127982;103.0;-174.0;371.0;26.0
1509945339.8033848;103.0;-174.0;371.0;28.0
1509945339.9950664;103.0;-174.0;371.0;30.0
1509945340.193212;104.0;9.0;498.0;-32.0
1509945340.3938658;104.0;9.0;498.0;-30.0
1509945340.5962074;104.0;9.0;498.0;-28.0
1509945340.799432;104.0;9.0;498.0;-26.0
1509945340.9981866;104.0;9.0;498.0;-24.0
1509945341.2006452;104.0;9.0;498.0;-22.0
1509945341.3982577;104.0;9.0;498.0;-19.0
1509945341.6130714;104.0;9.0;498.0;-17.0
1509945341.799411;104.0;295.0;498.0;-15.0
1509945341.9996967;104.0;295.0;498.0;-13.0
1509945342.2057512;105.0;295.0;499.0;-11.0
1509945342.412252;105.0;295.0;499.0;-9.0
1509945342.6083374;105.0;295.0;499.0;-7.0
1509945342.806703;105.0;295.0;499.0;-5.0
1509945343.0063887;105.0;295.0;499.0;-3.0
1509945343.2078083;105.0;295.0;499.0;-1.0
1509945343.404791;105.0;419.0;499.0;1.0
1509945343.6073866;105.0;419.0;499.0;3.0
1509945343.8058462;105.0;419.0;499.0;5.0
1509945344.0173738;105.0;419.0;499.0;7.0
1509945344.2109365;106.0;419.0;264.0;9.0
1509945344.4076352;106.0;419.0;264.0;11.0
1509945344.6085076;106.0;419.0;264.0;13.0
1509945344.8243392;106.0;419.0;264.0;15.0
1509945345.0097358;106.0;268.0;264.0;17.0
1509945345.2149246;106.0;268.0;264.0;20.0
1509945345.426834;106.0;268.0;264.0;22.0
1509945345.6189668;106.0;268.0;264.0;24.0
1509945345.8238814;106.0;268.0;264.0;26.0
1509945346.013362;106.0;268.0;264.0;28.0
1509945346.2141047;107.0;268.0;265.0;30.0
1509945346.4147792;107.0;268.0;265.0;-32.0
1509945346.6161149;107.0;-19.0;265.0;-30.0
1509945346.8191445;107.0;-19.0;265.0;-28.0
1509945347.016683;107.0;-19.0;265.0;-26.0
1509945347.2173786;107.0;-19.0;265.0;-24.0
1509945347.4179304;107.0;-19.0;265.0;-21.0
1509945347.619792;107.0;-19.0;265.0;-19.0
1509945347.8208365;107.0;-19.0;265.0;-17.0
1509945348.0197573;107.0;-19.0;265.0;-15.0
1509945348.2321668;108.0;-178.0;-115.0;-13.0
1509945348.4353333;108.0;-178.0;-115.0;-11.0
1509945348.627149;108.0;-178.0;-115.0;-8.0
1509945348.8239086;108.0;-178.0;-115.0;-6.0
1509945349.0275471;108.0;-178.0;-115.0;-4.0
1509945349.226529;108.0;-178.0;-115.0;-2.0
1509945349.4253614;108.0;-178.0;-115.0;0.0
1509945349.625704;108.0;-178.0;-115.0;1.0
1509945349.8299136;108.0;-63.0;-115.0;4.0
1509945350.0359852;108.0;-63.0;-115.0;6.0
1509945350.2390928;109.0;-63.0;-114.0;8.0
1509945350.4437945;109.0;-63.0;-114.0;10.0
1509945350.6287072;109.0;-63.0;-114.0;12.0
1509945350.8455257;109.0;-63.0;-114.0;15.0
1509945351.0441694;109.0;-63.0;-114.0;17.0
1509945351.243406;109.0;-63.0;-114.0;19.0
1509945351.4435287;109.0;220.0;-114.0;21.0
1509945351.6475382;109.0;220.0;-114.0;23.0
1509945351.8361478;109.0;220.0;-114.0;25.0
1509945352.0455256;109.0;220.0;-114.0;28.0
1509945352.2343721;110.0;220.0;-289.0;30.0
1509945352.4374387;110.0;220.0;-289.0;32.0
1509945352.6381094;110.0;220.0;-289.0;-30.0
1509945352.840613;110.0;220.0;-289.0;-28.0
1509945353.0525625;110.0;412.0;-289.0;-26.0
1509945353.2385743;110.0;412.0;-289.0;-24.0
1509945353.4387507;110.0;412.0;-289.0;-21.0
1509945353.6396093;110.0;412.0;-289.0;-19.0
1509945353.856521;110.0;412.0;-289.0;-17.0
1509945354.0529685;110.0;412.0;-289.0;-15.0
1509945354.2526662;111.0;412.0;-288.0;-13.0
1509945354.4584827;111.0;412.0;-288.0;-10.0
1509945354.6565635;111.0;335.0;-288.0;-8.0
1509945354.8480232;111.0;335.0;-288.0;-6.0
1509945355.0439267;111.0;335.0;-288.0;-4.0
1509945355.2447255;111.0;335.0;-288.0;-1.0
1509945355.445288;111.0;335.0;-288.0;0.0
1509945355.6460495;111.0;335.0;-288.0;2.0
1509945355.8496633;111.0;335.0;-288.0;4.0
1509945356.0937765;111.0;335.0;-288.0;6.0
1509945356.2825403;112.0;60.0;-96.0;9.0
1509945356.46632;112.0;60.0;-96.0;11.0
1509945356.6502247;112.0;60.0;-96.0;13.0
1509945356.8505592;112.0;60.0;-96.0;15.0
1509945357.0507488;112.0;60.0;-96.0;18.0
1509945357.2641416;112.0;60.0;-96.0;20.0
1509945357.4555922;112.0;60.0;-96.0;22.0
1509945357.6648247;112.0;60.0;-96.0;24.0
1509945357.8535573;112.0;-159.0;-96.0;27.0
1509945358.075681;112.0;-159.0;-96.0;29.0
1509945358.2556295;113.0;-159.0;-95.0;31.0
1509945358.4603753;113.0;-159.0;-95.0;-31.0
1509945358.6593077;113.0;-159.0;-95.0;-29.0
1509945358.8570275;113.0;-159.0;-95.0;-27.0
1509945359.0576692;113.0;-159.0;-95.0;-24.0
1509945359.2590947;113.0;-159.0;-95.0;-22.0
1509945359.4589863;113.0;-122.0;-95.0;-20.0
1509945359.6749368;113.0;-122.0;-95.0;-17.0
1509945359.8724625;113.0;-122.0;-95.0;-15.0
1509945360.065936;113.0;-122.0;-95.0;-13.0
1509945360.2771127;114.0;-122.0;288.0;-11.0
1509945360.4751482;114.0;-122.0;288.0;-8.0
1509945360.6772668;114.0;-122.0;288.0;-6.0
1509945360.8638587;114.0;-122.0;288.0;-4.0
1509945361.0775383;114.0;137.0;288.0;-1.0
1509945361.2697139;114.0;137.0;288.0;0.0
1509945361.4652276;114.0;137.0;288.0;2.0
1509945361.666909;114.0;137.0;288.0;4.0
1509945361.8686688;114.0;137.0;288.0;7.0
1509945362.0825593;114.0;137.0;288.0;9.0
1509945362.2988946;115.0;137.0;289.0;11.0
1509945362.4701946;115.0;137.0;289.0;14.0
1509945362.7187898;115.0;381.0;289.0;16.0
1509945362.8835566;115.0;381.0;289.0;18.0
1509945363.0997183;115.0;381.0;289.0;20.0
1509945363.283339;115.0;381.0;289.0;23.0
